availability_text,average_rating,brand,care_instructions,category_breadcrumb,color_options,description,dimensions,document,image_count,image_url,images_list,in_stock,is_sale,material_text,mission_tags,name,price_currency,price_current,price_original,product_id,product_url,rating_count,review_count,scrape_date,sku,subcluster,title,url
In Stock,4.4,A New Day,Spot or Wipe Clean,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches",Black | Brown,Twill fabric clutch bag; Kiss lock clasp closure; Main compartment with credit card slip pocket; Kiss lock metal clasp closure; Detachable carrying handle,7 Inches (H) x 13.5 Inches (W) x 5 Inches (D),Kiss Lock Clutch Bag - A New Day™ Black A New Day Twill fabric clutch bag; Kiss lock clasp closure; Main compartment with credit card slip pocket; Kiss lock metal clasp closure; Detachable carrying handle Polyurethane,7,https://target.scene7.com/is/image/Target/GUEST_c81ce67f-222a-4e84-967e-6fe3dc83c1fe?wid=1200&hei=1200&qlt=85,https://target.scene7.com/is/image/Target/GUEST_c81ce67f-222a-4e84-967e-6fe3dc83c1fe?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_bc30567f-6c47-4d02-b6ce-a59ad66c248b?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_62892e50-afe0-4d6e-8dec-8f6b2e663cf5?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_9c26ce3e-b739-4d15-ae85-201852781129?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_3b76,True,False,Polyurethane,,Kiss Lock Clutch Bag - A New Day™ Black,USD,30.0,,94687138,https://www.target.com/p/kiss-lock-clutch-bag-a-new-day/-/A-94705891?preselect=94687138#lnk=sametab,90,90,2026-02-23T16:44:52.645735,199268397820,2,Kiss Lock Clutch Bag - A New Day™ Black,https://www.target.com/p/kiss-lock-clutch-bag-a-new-day/-/A-94705891?preselect=94687138#lnk=sametab
In Stock,3.9,Universal Thread,Spot or Wipe Clean,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags",Black | Pale Blue | Pink | Yellow,Universal Thread quilted tote handbag; Woven with recycled polyester fabric; Interior zip pocket; Double shoulder straps; Drawstring closure,14.72 Inches (H) x 19.31 Inches (W) x 5 Inches (D),Quilted Drawstring Tote Handbag - Universal Thread™ Pink Universal Thread Universal Thread quilted tote handbag; Woven with recycled polyester fabric; Interior zip pocket; Double shoulder straps; Drawstring closure 100% Recycled Polyester,6,https://target.scene7.com/is/image/Target/GUEST_5e168547-8dac-457c-8f8c-dd363f529a80?wid=1200&hei=1200&qlt=85,https://target.scene7.com/is/image/Target/GUEST_5e168547-8dac-457c-8f8c-dd363f529a80?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_a22b36d4-9fec-4592-ab7d-18322c98374d?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_1bc25f15-6e08-4dfa-ab9c-12a5cbb710ff?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_9f178582-2246-4ef6-afff-2259542031a3?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_ec9c,True,False,100% Recycled Polyester,,Quilted Drawstring Tote Handbag - Universal Thread™ Pink,USD,35.0,,94776900,https://www.target.com/p/quilted-drawstring-tote-handbag-universal-thread/-/A-94776901?preselect=94776900#lnk=sametab,11,11,2026-02-23T16:44:52.646741,199268613777,1,Quilted Drawstring Tote Handbag - Universal Thread™ Pink,https://www.target.com/p/quilted-drawstring-tote-handbag-universal-thread/-/A-94776901?preselect=94776900#lnk=sametab
In Stock,4.8,A New Day,Care Instructions Not Provided,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Bag Charms & Straps",,Gold-tone chain bag charm; Metal construction; Five heart-shaped charms with printed phrases; Additional small gold-tone heart charms; Lobster claw clasp closure; Suggested for ages 15 and up,"11.42 Inches (L), 1.36 Inches (W)",Conversation Heart Bag Charm - A New Day™ A New Day Gold-tone chain bag charm; Metal construction; Five heart-shaped charms with printed phrases; Additional small gold-tone heart charms; Lobster claw clasp closure; Suggested for ages 15 and up Zinc Alloy,3,https://target.scene7.com/is/image/Target/GUEST_faba82f4-1b2d-4a51-8bea-67318e006232?wid=1200&hei=1200&qlt=85,https://target.scene7.com/is/image/Target/GUEST_faba82f4-1b2d-4a51-8bea-67318e006232?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_2b04ebb5-f4a9-48a5-a59f-242ffffaad2e?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_d8a7b3a4-55b1-44a5-aea8-b3c22e470ba3?wid=1200&hei=1200&qlt=85,True,True,Zinc Alloy,,Conversation Heart Bag Charm - A New Day™,USD,8.5,10.0,94794411,https://www.target.com/p/conversation-heart-bag-charm-a-new-day-8482/-/A-94794411#lnk=sametab,29,29,2026-02-23T16:44:52.646741,199592133392,1,Conversation Heart Bag Charm - A New Day™,https://www.target.com/p/conversation-heart-bag-charm-a-new-day-8482/-/A-94794411#lnk=sametab
In Stock,4.6,A New Day,Spot or Wipe Clean,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches",,Kiss structured clutch; Red polyurethane shell with vinyl finish; Zip-closure main compartment; Detachable metal shoulder strap,5.75 Inches (H) x 8.5 Inches (W) x 2.75 Inches (D),Kiss Lip Clutch - A New Day™ Red A New Day Kiss structured clutch; Red polyurethane shell with vinyl finish; Zip-closure main compartment; Detachable metal shoulder strap Metal,6,https://target.scene7.com/is/image/Target/GUEST_82702f88-fb01-4f54-af1c-b284eeacb30e?wid=1200&hei=1200&qlt=85,https://target.scene7.com/is/image/Target/GUEST_82702f88-fb01-4f54-af1c-b284eeacb30e?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_e6a270eb-6c20-4942-8f84-dfcbffd8ee07?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_baefd80f-de4d-4e34-b1f6-f0312b8b9919?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_c6c220e4-a321-4e86-9823-74ae41328350?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_afec,True,True,Metal,,Kiss Lip Clutch - A New Day™ Red,USD,25.5,30.0,94742363,https://www.target.com/p/kiss-lip-clutch-a-new-day-8482-red/-/A-94742363#lnk=sametab,14,14,2026-02-23T16:44:52.646741,199268617621,1,Kiss Lip Clutch - A New Day™ Red,https://www.target.com/p/kiss-lip-clutch-a-new-day-8482-red/-/A-94742363#lnk=sametab
In Stock,4.6,A New Day,Spot or Wipe Clean,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches",Cream | Mint Green | Pink | Purple,Conversation heart wristlet wallet; Polyurethane construction; Zip closure; Detachable loop strap,4.5 Inches (H) x 4.75 Inches (W) x .75 Inches (D),Conversation Heart Wristlet - A New Day™ Pink A New Day Conversation heart wristlet wallet; Polyurethane construction; Zip closure; Detachable loop strap Polyurethane,5,https://target.scene7.com/is/image/Target/GUEST_c3bcb3dd-0448-4197-8fb6-6c8c4ea780b6?wid=1200&hei=1200&qlt=85,https://target.scene7.com/is/image/Target/GUEST_c3bcb3dd-0448-4197-8fb6-6c8c4ea780b6?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_89dde584-00eb-40eb-9975-ebd391f984ec?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_d05f620c-29a0-46ff-ad7e-18377371aa95?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_2ddc4669-a74d-4b5d-9fa1-79616b83c5e1?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_5dde,True,True,Polyurethane,,Conversation Heart Wristlet - A New Day™ Pink,USD,12.75,15.0,94742362,https://www.target.com/p/conversation-heart-wristlet-a-new-day/-/A-94781667?preselect=94742362#lnk=sametab,16,16,2026-02-23T16:44:52.646741,199268617652,1,Conversation Heart Wristlet - A New Day™ Pink,https://www.target.com/p/conversation-heart-wristlet-a-new-day/-/A-94781667?preselect=94742362#lnk=sametab
In Stock,3.9,A New Day,Spot or Wipe Clean,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches",Brown | Green | Pink,Crescent-shape minaudiere clutch; Crafted from acrylic shell; Clasp closure; Top carrying handle,8.62 Inches (H) x 9.05 Inches (W) x 1.96 Inches (D),Crescent Marble Minaudiere Clutch - A New Day™ Pink A New Day Crescent-shape minaudiere clutch; Crafted from acrylic shell; Clasp closure; Top carrying handle Acrylic,6,https://target.scene7.com/is/image/Target/GUEST_2383dd5a-cb9c-4806-bd55-6769489211e9?wid=1200&hei=1200&qlt=85,https://target.scene7.com/is/image/Target/GUEST_2383dd5a-cb9c-4806-bd55-6769489211e9?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_fe3d6505-fd23-4fc3-89c7-b15c39c431bd?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_31dc90fc-2b57-474a-8a53-0b3f115a3ee3?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_df86bed2-0fff-4ed6-9461-054caa2fcab2?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_38c3,True,False,Acrylic,,Crescent Marble Minaudiere Clutch - A New Day™ Pink,USD,40.0,,94742370,https://www.target.com/p/crescent-marble-minaudiere-clutch-a-new-day/-/A-94781668?preselect=94742370#lnk=sametab,9,9,2026-02-23T16:44:52.646741,199268617577,1,Crescent Marble Minaudiere Clutch - A New Day™ Pink,https://www.target.com/p/crescent-marble-minaudiere-clutch-a-new-day/-/A-94781668?preselect=94742370#lnk=sametab
In Stock,4.3,Universal Thread,Spot or Wipe Clean,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags",Black | Brown | Off-White | Tan,Faux leather slouchy shoulder bag; Polyurethane shell; Unstructured; No interior or exterior compartments; Magnetic closure; Carrying handle; 10.5in H 15.75in W x 5in D,10.5 Inches (H) x 15.75 Inches (W) x 5 Inches (D),Oversized Slouchy Shoulder Bag - Universal Thread™ Black Universal Thread Faux leather slouchy shoulder bag; Polyurethane shell; Unstructured; No interior or exterior compartments; Magnetic closure; Carrying handle; 10.5in H 15.75in W x 5in D Polyurethane,8,https://target.scene7.com/is/image/Target/GUEST_21c648d2-b83a-49d5-ad4a-bee5938769eb?wid=1200&hei=1200&qlt=85,https://target.scene7.com/is/image/Target/GUEST_21c648d2-b83a-49d5-ad4a-bee5938769eb?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_15d31985-e3b6-493f-b321-50ae6114a717?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_62c8773c-47a6-429c-9e1c-cee6b8ebc552?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_d0bf8999-da81-441b-a8c8-e546a227b477?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_fd5a,True,False,Polyurethane,,Oversized Slouchy Shoulder Bag - Universal Thread™ Black,USD,35.0,,94172689,https://www.target.com/p/oversized-slouchy-shoulder-bag-universal-thread/-/A-94248767?preselect=94172689#lnk=sametab,390,390,2026-02-23T16:44:52.646741,198850427990,1,Oversized Slouchy Shoulder Bag - Universal Thread™ Black,https://www.target.com/p/oversized-slouchy-shoulder-bag-universal-thread/-/A-94248767?preselect=94172689#lnk=sametab
In Stock,4.6,Universal Thread,Spot or Wipe Clean,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Weekender Bags",Dark Brown,"Keep yourself ready for quick trips with the Foundational Weekender Bag from Universal Thread™. This unstructured weekender bag features interior and exterior pockets to help provide ample space for your essential items. Designed with a removable strap and double handles, it offers multiple carrying options for your convenience. Universal Thread™: Found exclusively at Target.",15 Inches (H) x 23 Inches (W) x 9 Inches (D),"Foundational Weekender Bag - Universal Thread™ Pucker Brown: 90% Recycled Nylon, Double Handle, Removable Strap, 48 Linear Inches Universal Thread Keep yourself ready for quick trips with the Foundational Weekender Bag from Universal Thread™. This unstructured weekender bag features interior and exterior pockets to help provide ample space for your essential items. Designed with a removable strap and double handles, it offers multiple carrying options for your convenience. Universal Thread™:",6,https://target.scene7.com/is/image/Target/GUEST_b2e9698f-b9d1-4304-a4c7-a312383c87ec?wid=1200&hei=1200&qlt=85,https://target.scene7.com/is/image/Target/GUEST_b2e9698f-b9d1-4304-a4c7-a312383c87ec?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_e5f55f57-213f-444d-9d90-38a2a709e0f4?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_f913349b-d909-4536-9561-47076a143ec5?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_694f70de-5f6a-4689-a88f-75e04004f835?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_1c7f,True,False,Polyester,,"Foundational Weekender Bag - Universal Thread™ Pucker Brown: 90% Recycled Nylon, Double Handle, Removable Strap, 48 Linear Inches",USD,40.0,,92450022,https://www.target.com/p/foundational-weekender-bag-universal-thread/-/A-92750865?preselect=92450022#lnk=sametab,133,133,2026-02-23T16:44:52.646741,198420263065,1,"Foundational Weekender Bag - Universal Thread™ Pucker Brown: 90% Recycled Nylon, Double Handle, Removable Strap, 48 Linear Inches",https://www.target.com/p/foundational-weekender-bag-universal-thread/-/A-92750865?preselect=92450022#lnk=sametab
In Stock,4.1,A New Day,Spot or Wipe Clean,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags",Black | Brown,Triple compartment tote handbag; Main compartment with zipper closure; Interior pocket; Double handles,13.39 Inches (H) x 21.26 Inches (W) x 6.3 Inches (D),"Triple Compartment Work Tote Handbag - A New Day™ Black: Shell, Double Shoulder Handles A New Day Triple compartment tote handbag; Main compartment with zipper closure; Interior pocket; Double handles Polyurethane",10,https://target.scene7.com/is/image/Target/GUEST_fbb80f99-6aed-4e26-8c6c-83e57f76035a?wid=1200&hei=1200&qlt=85,https://target.scene7.com/is/image/Target/GUEST_fbb80f99-6aed-4e26-8c6c-83e57f76035a?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_596407fc-5041-40ee-9c9a-f08cfa6e3beb?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_11e44a9e-1a37-4b0f-ac31-f1bd59b771c2?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_14dac329-2b70-433a-83bb-1e39de314f84?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_c871,True,False,Polyurethane,,"Triple Compartment Work Tote Handbag - A New Day™ Black: Shell, Double Shoulder Handles",USD,35.0,,90367010,https://www.target.com/p/triple-compartment-work-tote-handbag-a-new-day/-/A-90564596?preselect=90367010#lnk=sametab,236,236,2026-02-23T16:44:52.646741,198101061881,1,"Triple Compartment Work Tote Handbag - A New Day™ Black: Shell, Double Shoulder Handles",https://www.target.com/p/triple-compartment-work-tote-handbag-a-new-day/-/A-90564596?preselect=90367010#lnk=sametab
In Stock,4.7,Wild Fable,Spot or Wipe Clean,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags","Black | Brown | Off-White | Red  - Out of Stock, out of stock | Tan | Yellow",Hobo bag with single strap handle; Boxed puffer design; Lightweight construction; Zippered compartment; Inner zip-up pocket; Recycled polyester,14 Inches (H) x 17 Inches (W) x 6.5 Inches (D),Puffer Hobo Shoulder Bag - Wild Fable™ Black Wild Fable Hobo bag with single strap handle; Boxed puffer design; Lightweight construction; Zippered compartment; Inner zip-up pocket; Recycled polyester 100% Recycled Polyester,7,https://target.scene7.com/is/image/Target/GUEST_3751241b-b8ba-4345-81d5-d8bbd0db785c?wid=1200&hei=1200&qlt=85,https://target.scene7.com/is/image/Target/GUEST_3751241b-b8ba-4345-81d5-d8bbd0db785c?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_a4605aa0-7a59-4b1d-bce5-32cc2f97c237?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_acd70be6-3faa-4b83-bcf3-61620256a510?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_299d6247-441e-4acc-85cb-653bde8970bd?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_a60a,True,False,100% Recycled Polyester,,Puffer Hobo Shoulder Bag - Wild Fable™ Black,USD,25.0,,90862916,https://www.target.com/p/puffer-hobo-bag-wild-fable/-/A-90864021?preselect=90862916#lnk=sametab,406,406,2026-02-23T16:44:52.646741,198101324320,1,Puffer Hobo Shoulder Bag - Wild Fable™ Black,https://www.target.com/p/puffer-hobo-bag-wild-fable/-/A-90864021?preselect=90862916#lnk=sametab
